Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
2019-12-05T00:00:00.000,ACUR,LL,,BLK,AK28792,IL,10300 S. Doty,(773) 568-8495,2891078
2019-12-05T00:00:00.000,AUDI,LL,,BLK,BC96697,IL,701 N. Sacramento,(773) 265-7605,6974934
2019-12-05T00:00:00.000,BMW,4D,,BLK,BH90631,IL,10300 S. Doty,(773) 568-8495,2891043
2019-12-05T00:00:00.000,BMW,4D,,WHI,BN84731,IL,10300 S. Doty,(773) 568-8495,2891038
2019-12-05T00:00:00.000,BMW,4D,,BRZ,63291B,IN,701 N. Sacramento,(773) 265-7605,6974951
2019-12-05T00:00:00.000,BMW,LL,,BLK,BL46272,IL,10300 S. Doty,(773) 568-8495,2891049
2019-12-05T00:00:00.000,BMW,LL,,GRY,AS79355,IL,10300 S. Doty,(773) 568-8495,2891113
2019-12-05T00:00:00.000,BUIC,4D,,BLU,478294,IL,701 N. Sacramento,(773) 265-7605,6974865
2019-12-05T00:00:00.000,BUIC,4D,,SIL,R601989,IL,400 E. Lower Wacker,(312) 744-7550,0216879
2019-12-05T00:00:00.000,BUIC,4D,,GRY,WB1578,IL,10300 S. Doty,(773) 568-8495,2891065
2019-12-05T00:00:00.000,BUIC,4D,,TAN,,IL,10300 S. Doty,(773) 568-8495,2891020
2019-12-05T00:00:00.000,CADI,4D,,WHI,BW43215,IL,701 N. Sacramento,(773) 265-7605,6974849
2019-12-05T00:00:00.000,CADI,4D,,GRY,944U606,IL,701 N. Sacramento,(773) 265-7605,6974881
2019-12-05T00:00:00.000,CADI,4D,,BLK,MGP13,IL,701 N. Sacramento,(773) 265-7605,6974943
2019-12-05T00:00:00.000,CADI,4D,,WHI,G694655,IL,10300 S. Doty,(773) 568-8495,2891033
2019-12-05T00:00:00.000,CHEV,2D,,TAN,723U199,IL,10300 S. Doty,(773) 568-8495,2891060
2019-12-05T00:00:00.000,CHEV,2D,,RED,BT71710,IL,10300 S. Doty,(773) 568-8495,2891066
2019-12-05T00:00:00.000,CHEV,4D,,BLK,AW63062,IL,701 N. Sacramento,(773) 265-7605,6974878
2019-12-05T00:00:00.000,CHEV,4D,,RED,E336665,IL,400 E. Lower Wacker,(312) 744-7550,0216874
2019-12-05T00:00:00.000,CHEV,4D,,WHI,AF71227,IL,701 N. Sacramento,(773) 265-7605,6974916
2019-12-05T00:00:00.000,CHEV,4D,,BLK,ZY94519,IL,10300 S. Doty,(773) 568-8495,2891075
2019-12-05T00:00:00.000,CHEV,4D,,BLK,NNTENSE,IL,10300 S. Doty,(773) 568-8495,2891037
2019-12-05T00:00:00.000,CHEV,4D,,BLK,AS85759,IL,10300 S. Doty,(773) 568-8495,2891118
2019-12-05T00:00:00.000,CHEV,4D,,BGE,,IL,10300 S. Doty,(773) 568-8495,2891116
2019-12-05T00:00:00.000,CHEV,4D,,WHI,BFE390,IL,10300 S. Doty,(773) 568-8495,2891105
2019-12-05T00:00:00.000,CHEV,4D,,BLK,BC55387,IL,701 N. Sacramento,(773) 265-7605,6974869
2019-12-05T00:00:00.000,CHEV,4D,,BLU,BN83772,IL,10300 S. Doty,(773) 568-8495,2891104
2019-12-05T00:00:00.000,CHEV,4D,,SIL,E786415,IL,10300 S. Doty,(773) 568-8495,2891123
2019-12-05T00:00:00.000,CHEV,4D,,SIL,R968342,IL,10300 S. Doty,(773) 568-8495,2891119
2019-12-05T00:00:00.000,CHEV,4D,,BLK,BP23152,IL,701 N. Sacramento,(773) 265-7605,6974907
2019-12-05T00:00:00.000,CHEV,4D,,WHI,BL86748,IL,10300 S. Doty,(773) 568-8495,2891035
2019-12-05T00:00:00.000,CHEV,4D,,BLK,BQ17150,IL,10300 S. Doty,(773) 568-8495,2891085
2019-12-05T00:00:00.000,CHEV,4D,,SIL,ZY35220,IL,10300 S. Doty,(773) 568-8495,2891056
2019-12-05T00:00:00.000,CHEV,4D,,SIL,BR68558,IL,701 N. Sacramento,(773) 265-7605,6974947
2019-12-05T00:00:00.000,CHEV,4D,,BLU,,IL,701 N. Sacramento,(773) 265-7605,6974839
2019-12-05T00:00:00.000,CHEV,4D,,BLK,Y891074,IL,10300 S. Doty,(773) 568-8495,2891055
2019-12-05T00:00:00.000,CHEV,4D,,SIL,BN71323,IL,10300 S. Doty,(773) 568-8495,2891053
2019-12-05T00:00:00.000,CHEV,4D,,GRY,BB20670,IL,10300 S. Doty,(773) 568-8495,2891100
2019-12-05T00:00:00.000,CHEV,4D,,SIL,AT60188,IL,701 N. Sacramento,(773) 265-7605,6974927
2019-12-05T00:00:00.000,CHEV,4D,,BLU,AF27208,IL,701 N. Sacramento,(773) 265-7605,6974858
2019-12-05T00:00:00.000,CHEV,4D,,RED,AZ44194,IL,10300 S. Doty,(773) 568-8495,2891025
2019-12-05T00:00:00.000,CHEV,4D,,RED,BE22711,IL,10300 S. Doty,(773) 568-8495,2891070
2019-12-05T00:00:00.000,CHEV,4D,,GRY,BA24053,IL,701 N. Sacramento,(773) 265-7605,6974853
2019-12-05T00:00:00.000,CHEV,LL,,BLU,BL16046,IL,10300 S. Doty,(773) 568-8495,2891096
2019-12-05T00:00:00.000,CHEV,LL,,BLK,,IL,10300 S. Doty,(773) 785-9752,1719794
2019-12-05T00:00:00.000,CHEV,LL,,BLK,BE17387,IL,701 N. Sacramento,(773) 265-7605,6974944
2019-12-05T00:00:00.000,CHEV,LL,,BLK,2400792B,IL,10300 S. Doty,(773) 568-8495,2891048
2019-12-05T00:00:00.000,CHEV,LL,,GRY,AY13002,IL,701 N. Sacramento,(773) 265-7605,6974876
2019-12-05T00:00:00.000,CHEV,PK,,SIL,63236,IL,10300 S. Doty,(773) 568-8495,2891091
2019-12-05T00:00:00.000,CHEV,PK,,MAR,2715720B,IL,701 N. Sacramento,(773) 265-7605,6974901
2019-12-05T00:00:00.000,CHEV,PK,,PLE,2411317B,IL,10300 S. Doty,(773) 568-8495,2891098
2019-12-05T00:00:00.000,CHEV,PK,,SIL,2380286B,IL,701 N. Sacramento,(773) 265-7605,6974893
2019-12-05T00:00:00.000,CHEV,PK,,WHI,PBU9016,GA,400 E. Lower Wacker,(312) 744-7550,0216882
2019-12-05T00:00:00.000,CHRY,2D,,BLU,A721424,IL,701 N. Sacramento,(773) 265-7605,6974938
2019-12-05T00:00:00.000,CHRY,4D,,GLD,651633,IL,701 N. Sacramento,(773) 265-7605,6974940
2019-12-05T00:00:00.000,CHRY,LL,,RED,AEY8510,WI,10300 S. Doty,(773) 568-8495,2891050
2019-12-05T00:00:00.000,CHRY,VN,,SIL,AS81908,IL,10300 S. Doty,(773) 568-8495,2891039
2019-12-05T00:00:00.000,CHRY,VN,,WHI,HZM1411,IL,701 N. Sacramento,(773) 265-7605,6974942
2019-12-05T00:00:00.000,DODE,LL,,RED,BL84257,IL,10300 S. Doty,(773) 568-8495,2891109
2019-12-05T00:00:00.000,DODG,2D,,SIL,AU33978,IL,10300 S. Doty,(773) 568-8495,2891046
2019-12-05T00:00:00.000,DODG,4D,,GRY,BR38023,IL,10300 S. Doty,(773) 568-8495,2891074
2019-12-05T00:00:00.000,DODG,4D,,WHI,1580149,IN,701 N. Sacramento,(773) 265-7605,6974848
2019-12-05T00:00:00.000,DODG,LL,,WHI,AV27229,IL,701 N. Sacramento,(773) 265-7605,6974872
2019-12-05T00:00:00.000,DODG,LL,,SIL,BF15636,IL,10300 S. Doty,(773) 568-8495,2891117
2019-12-05T00:00:00.000,DODG,LL,,WHI,AV93179,IL,10300 S. Doty,(773) 568-8495,2891122
2019-12-05T00:00:00.000,DODG,LL,,SIL,BH80195,IL,10300 S. Doty,(773) 568-8495,2891057
2019-12-05T00:00:00.000,DODG,VA,,SIL,AG35362,IL,701 N. Sacramento,(773) 265-7605,6974952
2019-12-05T00:00:00.000,DODG,VN,,GRY,DPR3067,IL,701 N. Sacramento,(773) 265-7605,6974902
2019-12-05T00:00:00.000,DODG,VN,,GRY,DPR3067,IL,701 N. Sacramento,(773) 265-7605,6974902
2019-12-05T00:00:00.000,FIAT,4D,,BLK,BV56554,IL,10300 S. Doty,(773) 568-8495,2891080
2019-12-05T00:00:00.000,FORD,4D,,WHI,BN51025,IL,701 N. Sacramento,(773) 265-7605,6974950
2019-12-05T00:00:00.000,FORD,4D,,BLU,AL76432,IL,10300 S. Doty,(773) 568-8495,2891071
2019-12-05T00:00:00.000,FORD,4D,,MAR,Z540208,IL,701 N. Sacramento,(773) 265-7605,6974941
2019-12-05T00:00:00.000,FORD,4D,,WHI,R961367,IL,400 E. Lower Wacker,(312) 744-7550,0216869
2019-12-05T00:00:00.000,FORD,4D,,WHI,FL547ABX,IN,10300 S. Doty,(773) 568-8495,2891094
2019-12-05T00:00:00.000,FORD,4D,,SIL,BU36980,IL,10300 S. Doty,(773) 568-8495,2891088
2019-12-05T00:00:00.000,FORD,4D,,WHI,AH39333,IL,10300 S. Doty,(773) 568-8495,2891044
2019-12-05T00:00:00.000,FORD,4D,,GRN,,IL,10300 S. Doty,(773) 568-8495,2891036
2019-12-05T00:00:00.000,FORD,LL,,GRY,L610496,IL,701 N. Sacramento,(773) 265-7605,6974864
2019-12-05T00:00:00.000,FORD,LL,,BLU,FMW4409,NY,400 E. Lower Wacker,(312) 744-7550,0216892
2019-12-05T00:00:00.000,FORD,LL,,SIL,BD91742,IL,701 N. Sacramento,(773) 265-7605,6974904
2019-12-05T00:00:00.000,FORD,LL,,BLK,347968,IL,10300 S. Doty,(773) 568-8495,2891021
2019-12-05T00:00:00.000,FORD,LL,,BLU,Q727116,IL,10300 S. Doty,(773) 568-8495,2891052
2019-12-05T00:00:00.000,FORD,LL,,BLU,987SYY,WI,701 N. Sacramento,(773) 265-7605,6974868
2019-12-05T00:00:00.000,FORD,LL,,BLK,AD85467,IL,701 N. Sacramento,(773) 265-7605,6974874
2019-12-05T00:00:00.000,FORD,LL,,WHI,,IL,10300 S. Doty,(773) 785-9752,1719797
2019-12-05T00:00:00.000,FORD,LL,,BLU,BP25647,IL,701 N. Sacramento,(773) 265-7605,6974915
2019-12-05T00:00:00.000,FORD,LL,,GRY,,IL,10300 S. Doty,(773) 785-9752,1719796
2019-12-05T00:00:00.000,FORD,LL,,BLK,A788998,IL,701 N. Sacramento,(773) 265-7605,6974935
2019-12-05T00:00:00.000,FORD,LL,,SIL,5967U244,IL,701 N. Sacramento,(773) 265-7605,6974873
2019-12-05T00:00:00.000,FORD,LL,,MAR,E239676,IL,701 N. Sacramento,(773) 265-7605,6974930
2019-12-05T00:00:00.000,FORD,LL,,BLK,AS31510,IL,701 N. Sacramento,(773) 265-7605,6974883
2019-12-05T00:00:00.000,FORD,VN,,RED,AB21603,IL,701 N. Sacramento,(773) 265-7605,6974914
2019-12-05T00:00:00.000,GMC,LL,,SIL,CJX113,IL,701 N. Sacramento,(773) 265-7605,6974918
2019-12-05T00:00:00.000,GMC,LL,,SIL,890570,IL,701 N. Sacramento,(773) 265-7605,6974895
2019-12-05T00:00:00.000,GMC,LL,,BLK,AE53120,IL,701 N. Sacramento,(773) 265-7605,6974906
2019-12-05T00:00:00.000,GMC,LL,,RED,AW21634,IL,10300 S. Doty,(773) 568-8495,2891029
2019-12-05T00:00:00.000,GMC,LL,,GRY,V279452,IL,10300 S. Doty,(773) 568-8495,2891086
2019-12-05T00:00:00.000,GMC,LL,,BLK,2109328,IL,10300 S. Doty,(773) 568-8495,2891095
2019-12-05T00:00:00.000,GMC,VC,,,AJ6577,AZ,701 N. Sacramento,(773) 265-7605,6974852
2019-12-05T00:00:00.000,HOND,2D,,SIL,AX94014,IL,701 N. Sacramento,(773) 265-7605,6974899
2019-12-05T00:00:00.000,HOND,4D,,RED,AG20853,IL,701 N. Sacramento,(773) 265-7605,6974887
2019-12-05T00:00:00.000,HOND,4D,,GRY,AP35791,IL,10300 S. Doty,(773) 568-8495,2891076
2019-12-05T00:00:00.000,HOND,4D,,SIL,Y940417,IL,10300 S. Doty,(773) 568-8495,2891062
